Code,Title Characters,Title Pinyin,Title P_li,Section,s_tras,Codes,P_li Reference,Page,Line,Term,Pinyin,Sanskrit,P,P#,P Notes,C,C#,C Notes,S,S#,S Notes,Notes 1,Notes 2,Notes 3,Notes 4,Notes 5
T150A (1),_____,Qi chu san guan jing ,NA,NA,NA,(875b4-c16 and 876cb1-c7) [sic],[a Sa_yukta _gama text]   ,2.875b,8,__,shè wèi,_r_vast_,_ia’ wiajh ,"P278, 322",,*_ja-_jwat- > _ja-jwäi,#3,,"_aC, _aB + was",01-48 + 28-05,,,,,,
T150A (1),_____,Qi chu san guan jing ,NA,NA,NA,(875b4-c16 and 876cb1-c7) [sic],[a Sa_yukta _gama text]   ,2.875b,8,_,zh_,Jeta,t_i_/t_i,P404,,*t_jei > t_je [but also *gjiei > gjie],#4,,t_e < kie,"07-06,",,,,,,
T150A (1),_____,Qi chu san guan jing ,NA,NA,NA,(875b4-c16 and 876cb1-c7) [sic],[a Sa_yukta _gama text]   ,2.875b,9,__,b_ qi_,bhik_u,pji’ khuw ,"P33, 257",,*bji_i khju / bji_i- khju > bi khj_u / bi- khj_u,#10,,"piB, khu < khwu_ ","26-38, 04-14",,,,,,
T150A (30),__(_)  ,Jiu heng (jing) ,NA,NA,NA,(880b10-19),[another Sa_yukt_gama text]  ,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,"this brief text (now contained within T150A), which contains a rich array of vocabulary that is atypical of An Shigao, is an intruder into T150A and does not belong in this list","the two terms registered here by Coblin (_ jié and__niè hu_n, given in the reverse of the sequence in which they actually occur) should therefore be deleted  [see brief discussion in Nattier, Guide, p. 53 and further details in Harrison 1997]",,,
T150A (31),__(_)  ,Jiu heng (jing) ,NA,NA,NA,(880b20-881a1),[another Sa_yukt_gama text] ,2.880b,21,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,,,,,
T150A (31),__(_)  ,Jiu heng (jing) ,NA,NA,NA,(880b20-881a1),[another Sa_yukt_gama text] ,2.880b,21,__,shè wèi,_r_vast_,_ia’ wiajh ,"P278, 322",,*_ja-_jwat- > _ja-jwäi,#3,,"_aC, _aB + was",01-48 + 28-05,,,,,,
T150A (31),__(_)  ,Jiu heng (jing) ,NA,NA,NA,(880b20-881a1),[another Sa_yukt_gama text] ,2.880b,21,_,zh_,Jeta,t_i_/t_i,P404,,*t_jei > t_je [but also *gjiei > gjie],#4,,t_e < kie,"07-06,",,,,,,
T150A (31),__(_)  ,Jiu heng (jing) ,NA,NA,NA,(880b20-881a1),[another Sa_yukt_gama text] ,2.880b,22,__,b_ qi_,bhik_u,pji’ khuw ,"P33, 257",,*bji_i khju / bji_i- khju > bi khj_u / bi- khj_u,#10,,"piB, khu < khwu_ ","26-38, 04-14",,,,,,
T603,"_ [sic, for _] ___ ",Yin chi ru jing ,NA,NA,NA,NA,(corresponds to part of the P_li Pe_akopadesa; see Zacchetti 2002a),15.173c,26,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,NB:  this text is not included in Coblin’s list but should be considered one of An Shigao’s core texts,,,,
T603,"_ [sic, for _] ___ ",Yin chi ru jing ,NA,NA,NA,NA,(corresponds to part of the P_li Pe_akopadesa; see Zacchetti 2002a),15.173c,27-28,___ ,pì zh_ fó,pratyekabuddha/  pratyayabuddha,phjiajk t_i_/t_i but ,"P237, 404, 96",,*pjiak t_jei > pjäk t_je – ,#26,"Coblin (#26) cites only the first part of the word (for which he gives the equivalents “Skt. pratyeka; cf. P. pacceka”)he does not however refer to this text but takes this example from T602 (15.170b), which is no longer considered to be the work of An Shigao (see Zacchetti 2008[2010)","piek, t_e < kie, but","08-19, 07-03, 30-14","Schuessler gives two other readings for _ (at 8-19), but only this one seems to be relevant","it is not clear to me (though it may be to other readers) whether these reconstructions would clearly support an antecedent containing a form of pratyaya “cause” rather pratyeka “individual” (on these variants in some Prakrits, which are reflected also in early Chinese translations, see Norman 1983b)","this word is now documented in G_ndh_r_ in a variety of forms, including pracea, pracega, pa__ig_a and pratyeka as well as pracaga and pracage [sic] (see Baums and Glass 2002- at gandhari.org)",,,
T603,"_ [sic, for _] ___ ",Yin chi ru jing ,NA,NA,NA,NA,(corresponds to part of the P_li Pe_akopadesa; see Zacchetti 2002a),15.173c,29,__,b_ qi_,bhik_u,pji’ khuw ,"P33, 257",,*bji_i khju / bji_i- khju > bi khj_u / bi- khj_u,#10,,"piB, khu < khwu_ ","26-38, 04-14",,,,,,
T603,"_ [sic, for _] ___ ",Yin chi ru jing ,NA,NA,NA,NA,(corresponds to part of the P_li Pe_akopadesa; see Zacchetti 2002a),15.177b,25,_,chán,dhy_na,d_ian,P48,,*d_jan > _jän,#9,,NA,NA,,,,,,
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.230c,9,__,ti_n zhú,<Not Sanskrit>,th_n truwk ,"P306, 414","Pulleyblank (414, s.v. zhú _) concurs, referring the reader to xi_n _* (P334, EMC x_n), which he describes as a “dialectal variant of ti_n _ ‘heaven’ which became specialized as the name of the Zoroastrian religion”    *can’t find this character in my font",*thi_n (or *hi_n?) trjok/tok/tuk > thien tjuk/twok/tuk ,#29,Coblin derives this from Old Iranian hinduka ~ hindukka],"then, --","32-15, --",,"the very interesting terms in the initial attribution (__, ____, and ____) should be discussed separately [rather than here] since they date from the time of Dao’an and are not part of the original translation [but I will include my notes on them here for now]",there is a very large literature on this term; to discuss it adequately would require substantial work,,,
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.230c,9,__[<–_] _ (_ redirects to _ in HD; just a variant character?),x_ lài ná,<perhaps for Sur___ra>,su__  laj` nra_ ,"P348, 181, 221",,NA,NA,Not registered,"sio, tshio; l_s (OCM râts); na  ","10-30, 21-24, 01-56",,"check Demiéville, “Le Yogac_rabh_mi de Sa_gharak_a”—this name is surely discussed there","YES:  occurs elsewhere, in Dao’an’s preface to a Chinese translation of a life of the Buddha (T194), also by Sa_gharak_a, as __ (for Sur___ra according to Demiéville), and as___(_ = zh_, zhà) in a s_tra concerning Maitreya contained in T125 (4.788a); the place is further identified by Demiéville as “le Kathiawar actuel”; see Demiéville 1954, p. 363 and n. 6 ",,,
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.230c,9,____,s_ng ji_/qié luó sh_/ch_,<supposedly *Sa_gharak_a>,s__ gia la t_hait/t_h__t ,"P273, 253, 203, 47",,*s_ng gja > s_ng gja + *la tshrat > lâ t_hat ,#30 + #31,"bizarrely divided by Coblin into sa_gha + r_k_asa (the latter meaning “an evil or malignant demon,” MW 871c) !"," --, ga l_ < l_i t_hat "," --, 18-04, 18-10, 21-29","for the rhyme category 21-29 Schuessler notes that “The MC finals are ambiguous; in some words, the OC rime could have been either *-at or *-et” (p. 236)","the name is well attested elsewhere (see Dao’an cited in Demiéville 1954); elsewhere it is translated as “sa_gha protector” (__; see the preface to T606, 15.181c14) [or perhaps better, “protected by the Sa_gha”? cf. below]","this ambiguity is reflected in Buddhist transcriptions, where this character is used to transcribe both k_et[ra] “field” and chatt[ra] “parasol”  [GET references]  [incl. SK article]",the character _ (used elsewhere for syllables with final –t) is unexpected if the name were indeed “Sa_gharak_a”,"AHA!  this is not *Sa_gharak_a, it’s Sa_gharak_ita! (a monastic name well attested elsewhere, and for which__ could also be a suitable translation)",
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.231a,6 (?),_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,"this is the first occurrence in this text, assuming that the material in 230c14 (and perhaps also c17) belongs to a preface to the text that was not produced by An Shigao himself ",,,,
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.232c,27,__,zh_n tán,candana,t_ian dan ,"P396, 300",,*t_jan dan > t_jän dân ,#32,," --, dan"," --, 24-23",,on this term see Karashima’s A__a Glossary and the further references given there,,,,
T607,___ ,Dao di jing,(Yog_c_rabh_mi),NA,NA,NA,NA,15.232c,8,__,nà tì,<n___?>,na’ th_jh ,"P221, 305",,*na thi_i- > nâ thiei- ,#33,"Coblin (#33) lists this as a transcription of nad_ (a Sanskrit word meaning “river,” MW 526a), but this does not seem to make sense here",n_ < n_i thes ,"18-12, 29-14","in reconstructing the character _ with a final –s Schuessler may have been misled by Coblin, who registers the word  ___ (T196, 4.153c20) as a transcription of Upati_ya (#329) however, most transcriptions of this name have a fourth syllable that transcribes -_ya
¬– likewise for the use of____ to transcribe upade_a (where _ = _a)
– it seems likely (or at least possible) that the version of the name preserved in T196 has simply dropped a final syllable, and that the character _ was being used simply to transcribe –ti-
– in any event, additional examples would be required to demonstrate that this character was used to transcribe syllables with a final ¬sibilant
","if the antecedent were n___ “tube” (534b), on the other hand, this could conceivably refer to the type of incense that is produced by rolling a paste of scented ingredients onto a piece of bamboo (so according to the eminently reliable source, Wikipedia:  https://en.wikipedia.org/wiki/Incense_of_India). ","the list of scented items given here also includes a mention of honey (or something like honey? ___, 232c27), one of the ingredients used for making certain types of incense according to the above-mentioned Wikipedia entry","for the term __ as a kind of incense see Lokak_ema’s T224, 8.473a1 and Karashima’s A__a glossary, s.v. mì xi_ng, there defined as “hovenia,” which Wikipedia describes as “a small genus of deciduous trees or shrubs” of which the Japanese Raisin Tree (hovenia dulcis) is the best known; see the entry for hovenia at https://en.wikipedia.org/wiki/Hovenia  ","the entry for hovenia dulcis itself further states that “an extract of [its] seeds, bough and young leaves can be used as a substitute for honey” (see https://en.wikipedia.org/wiki/Hovenia_dulcis).",the term __ does not appear anywhere else in SAT (the two occurrences in T1370 are part of strings of syllables comprising a dh_ra__ and do not constitute a separate word)
T1508,_________,Ahan koujie shi’er yinyuan jing  ,NA,NA,NA,NA,NA,25.55a,26,___,_ luó hàn  ,arhant,_a la xanh ,"P23, 203, 119",,*_a la han- > _â lâ xân- ,#25,,"_a < _ai, l_ < l_i,  h_nC","18-01, 18-10, 24-10",,"as a transcript of oral teachings attributed to An Shigao, this text lacks a nid_na (the opening passage describing the setting ","since the bulk of An Shigao’s (relatively rare) transcriptions occur in these nid_nas, it is not surprising that this text contains almost no transcriptions","but toward the end of the text (at 25.55a26) there is an abrupt transition to a brief/truncated narrative, and it is here that the sole transcriptions in this text occur",,
T1508,_________,Ahan koujie shi’er yinyuan jing  ,NA,NA,NA,NA,NA,25.55a,27,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,,,,,
T1508,_________,Ahan koujie shi’er yinyuan jing  ,NA,NA,NA,NA,NA,25.55a,27,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,,,,,
T1557,_______,Apitan wu fa xing jing ,NA,NA,NA,NA,NA,29.998a,10,___,_ pí tán,abhidharma,_a bji d_m/dam ,"P23, 236, 300",[is this the same character?],NA,NA,not in Coblin’s list,"_a < _ai, bi , --","18-01, 26-38, --",,,,,,
T1557,_______,Apitan wu fa xing jing ,NA,NA,NA,NA,NA,29.998b,29,_,chán,dhy_na,d_ian,P48,,*d_jan > _jän,#9,,NA,NA,,,,,,
T1557,_______,Apitan wu fa xing jing ,NA,NA,NA,NA,NA,29.998c,1,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,,,,,
T1557,_______,Apitan wu fa xing jing ,NA,NA,NA,NA,NA,29.998c,6,__,_n b_n,_n_p_na,NA,NA,,NA,NA,,NA,NA,,,,,,
T1557,_______,Apitan wu fa xing jing ,NA,NA,NA,NA,NA,29.1001b,6,___,_ pí tán,abhidharma,_a bji d_m/dam ,"P23, 236, 300",[is this the same character?],NA,NA,not in Coblin’s list,"_a < _ai, bi , --","18-01, 26-38, --",,,,,,
